continent,country,income,life_exp,population,year,alpha_2,alpha_3
africa,Zambia,663.0,32.6,747000.0,1800,ZM,ZMB
asia,Vanuatu,585.0,24.3,27791.0,1800,VU,VUT
asia,Uzbekistan,502.0,26.93,1919159.0,1800,UZ,UZB
americas,Uruguay,1758.0,32.9,55000.0,1800,UY,URY
americas,United States,2128.0,39.41,6801854.0,1800,US,USA
europe,United Kingdom,3431.0,38.65,12327466.0,1800,GB,GBR
europe,Ukraine,763.0,36.6,11215490.0,1800,UA,UKR
africa,Uganda,464.0,25.3,2101397.0,1800,UG,UGA
asia,Turkmenistan,943.0,24.0,367215.0,1800,TM,TKM
europe,Turkey,1221.0,35.0,9773456.0,1800,TR,TUR
africa,Tunisia,716.0,28.8,862029.0,1800,TN,TUN
asia,Tonga,663.0,28.2,18658.0,1800,TO,TON
africa,Togo,682.0,31.3,445985.0,1800,TG,TGO
asia,Timor-Leste,521.0,28.95,137262.0,1800,TL,TLS
asia,Thailand,931.0,30.4,4665000.0,1800,TH,THA
asia,Tajikistan,556.0,24.24,466629.0,1800,TJ,TJK
europe,Sweden,1414.0,32.16,2354189.0,1800,SE,SWE
americas,Suriname,1636.0,32.9,80721.0,1800,SR,SUR
asia,Yemen,877.0,23.39,2593000.0,1800,YE,YEM
africa,South Sudan,507.0,26.67,1027378.0,1800,SS,SSD
africa,South Africa,1480.0,33.5,1440820.0,1800,ZA,ZAF
asia,Solomon Islands,363.0,25.1,56998.0,1800,SB,SLB
europe,Slovenia,1409.0,36.6,469664.0,1800,SI,SVN
asia,Singapore,1021.0,29.1,30000.0,1800,SG,SGP
asia,Saudi Arabia,846.0,32.1,2091000.0,1800,SA,SAU
africa,Senegal,497.0,25.2,1009886.0,1800,SN,SEN
africa,Sao Tome and Principe,850.0,31.0,22731.0,1800,ST,STP
asia,Samoa,1400.0,25.4,47300.0,1800,WS,WSM
africa,Rwanda,431.0,31.8,928368.0,1800,RW,RWA
asia,Qatar,1097.0,30.8,14092.0,1800,QA,QAT
africa,Somalia,694.0,29.4,991488.0,1800,SO,SOM
europe,Portugal,1685.0,35.6,3033454.0,1800,PT,PRT
asia,Maldives,842.0,32.65,42378.0,1800,MV,MDV
europe,Georgia,543.0,31.87,1072178.0,1800,GE,GEO
africa,Gabon,390.0,30.6,158227.0,1800,GA,GAB
